text,label
You are under digital arrest for financial crimes.,1
A warrant has been issued against your Aadhaar number.,1
Your PAN card is linked to illegal money laundering.,1
Do not disconnect this call or police will reach your home.,1
This is the cyber crime department calling regarding your case.,1
Your bank account has been frozen due to suspicious activity.,1
You must transfer the settlement amount immediately.,1
CBI headquarters has flagged your identity.,1
A non bailable warrant is active in your name.,1
You are being investigated for drug trafficking.,1
Stay on the call and do not inform anyone.,1
Immediate payment is required to avoid arrest.,1
You are in virtual custody right now.,1
Your Aadhaar is used in illegal transactions.,1
Send the refundable deposit to clear the case.,1
Police verification is ongoing for your account.,1
You cannot leave the call during digital inquiry.,1
Your identity has been linked to serious crimes.,1
Pay now to prevent further legal action.,1
Cyber cell has registered a criminal complaint.,1
Your SIM card is under investigation.,1
We detected suspicious transactions under your name.,1
You are charged under section 420.,1
Remain silent and follow instructions carefully.,1
This call is officially monitored by authorities.,1
Your account will be seized permanently.,1
You are involved in cross border money transfer scam.,1
We have proof against your Aadhaar usage.,1
Transfer funds now to settle the charges.,1
Your account has been blocked due to illegal use.,1
A legal case has been registered in Mumbai.,1
You must submit verification fees immediately.,1
Do not tell your family about this investigation.,1
Failure to comply will result in arrest.,1
You are suspected of financial fraud.,1
Your documents are linked to narcotics activity.,1
This is a confidential government inquiry.,1
You must stay connected for verification.,1
Immediate digital settlement is required.,1
Police will trace your location if you disconnect.,1
You are required to pay a security deposit.,1
Your KYC is under criminal review.,1
You are accused of identity theft.,1
Transfer the fine amount to avoid jail.,1
A case has been opened in Delhi court.,1
You are under surveillance by authorities.,1
Do not hang up the phone.,1
Send money to close the criminal file.,1
Your Aadhaar is blacklisted.,1
Turant paisa bhejo warna giraftari hogi.,1
Aap digital arrest mein hain.,1
Aapke naam par FIR darj ho chuki hai.,1
Phone mat kaatna warna police bhej denge.,1
Aapka PAN card illegal activities mein use hua hai.,1
Abhi payment karo case band ho jayega.,1
Aap par non bailable warrant issue ho gaya hai.,1
Aapko turant verification amount jama karna hoga.,1
Yeh call enforcement department se hai.,1
Aapko investigation ke liye cooperate karna hoga.,1
Your Aadhaar is linked to money laundering.,1
We are calling from the enforcement directorate.,1
You must pay immediately to avoid custody.,1
Your account shows illegal overseas transfers.,1
You are under criminal monitoring.,1
Provide immediate bank transfer proof.,1
This is a final warning before arrest.,1
A cyber complaint has been filed against you.,1
Your documents are flagged in investigation.,1
You must comply with official orders.,1
Police team is on standby.,1
We will issue arrest notice shortly.,1
Your digital footprint shows fraud.,1
You must clear pending legal dues.,1
This is a government mandated verification.,1
Your identity is used in terror funding.,1
Immediate compliance is required.,1
You are facing serious criminal charges.,1
Your account will be permanently frozen.,1
Transfer penalty amount to resolve.,1
You are linked to narcotics bureau case.,1
Do not inform anyone during inquiry.,1
Legal action has been initiated.,1
We are tracing your location.,1
Submit payment to avoid FIR.,1
You must stay silent and cooperate.,1
This is a high priority legal case.,1
Authorities have your case file.,1
Settlement must be completed today.,1
You are under strict investigation.,1
Your Aadhaar is misused in crime.,1
Immediate arrest proceedings started.,1
You must pay security clearance fee.,1
Failure to respond will escalate charges.,1
Police complaint is registered.,1
Criminal division is reviewing your file.,1
You are officially summoned.,1
Your account is connected to illegal funds.,1
Transfer compliance amount now.,1
You are obligated to pay legal bond.,1
Your number is flagged in crime database.,1
Your food delivery will arrive in 20 minutes.,0
Your electricity bill payment was successful.,0
Thank you for shopping with us.,0
Your OTP for login is 458921.,0
Your parcel has been dispatched.,0
The meeting is scheduled for 5 PM.,0
Your internet service has been restored.,0
Your train ticket has been confirmed.,0
This call may be recorded for quality purposes.,0
Your order refund has been processed.,0
Please update the application to continue.,0
Your courier is out for delivery.,0
Thank you for contacting support.,0
Your subscription will renew next month.,0
Your payment of 500 rupees was received.,0
Your appointment is tomorrow at 10 AM.,0
We appreciate your feedback.,0
Your cab has arrived.,0
Please hold while we transfer your call.,0
Your recharge was successful.,0
The package will be delivered by evening.,0
Your bank balance is updated.,0
Your gas cylinder booking is confirmed.,0
This is a reminder for your EMI payment.,0
Your salary has been credited.,0
The event starts at 7 PM.,0
Your account password was changed successfully.,0
Please verify your email address.,0
Your order has been cancelled.,0
Your payment failed due to network error.,0
You have successfully logged in.,0
This is a customer satisfaction survey.,0
Your library book is due tomorrow.,0
Please collect your parcel from reception.,0
Your mobile data pack is active.,0
Your insurance premium is due next week.,0
Thank you for registering with us.,0
Your movie ticket booking is confirmed.,0
The technician will arrive shortly.,0
Your credit card bill is generated.,0
We have updated your address.,0
The system update is complete.,0
Your flight check in is open.,0
Your account statement is available.,0
The weather today is sunny.,0
Please restart your device.,0
Your delivery partner is nearby.,0
The shop closes at 9 PM.,0
You have received a cashback reward.,0
Your refund will reflect in 3 days.,0
